Month,Mean,n,SD,MONTH,offset
01,0.2694300225657181,3,0.029139259928514155,Jan,0.06368766336725667
02,0.21616565657592263,3,0.01860757249333033,Feb,0.010423297377461227
03,0.21776635506588202,3,0.007401278367234571,Mar,0.012023995867420617
04,0.20397435143024908,3,0.0266586582731203,Apr,-0.0017680077682123152
05,0.18156976551690113,3,0.006038170687986564,May,-0.024172593681560273
06,0.18654056373419328,3,0.004270793802440995,Jun,-0.019201795464268118
07,0.18448711213650293,3,0.004949385895725965,Jul,-0.02125524706195847
08,0.1661564802943021,3,0.01002866480863713,Aug,-0.039585878904159294
09,0.17356156613210347,3,0.018438257023455657,Sep,-0.03218079306635793
10,0.19183728889957943,3,0.009162572812532853,Oct,-0.013905070298881966
11,0.2177904913148225,3,0.013267279263766125,Nov,0.012048132116361104
12,0.2596286567153603,3,0.051538249760974396,Dec,0.053886297516898884
