obs_year,Month,SWin,SWout,Albedo,Age,Mean,offset
Four,01,343.11781948387096,40.97266512987013,0.119412816249248,30,0.10054285686653511,0.018869959382712895
Four,02,403.6350580833333,44.77404716666667,0.11092705222206628,30,0.10054285686653511,0.010384195355531173
Four,03,622.5347802580645,66.38799148387096,0.1066414176190294,30,0.10054285686653511,0.006098560752494292
Four,04,598.0504524666667,69.00614338709677,0.11538515371484137,30,0.10054285686653511,0.014842296848306263
Four,05,722.4494375483871,69.35457947368421,0.09599921581922345,30,0.10054285686653511,-0.004543641047311656
Four,06,716.4687126666666,63.2625726,0.0882977462679973,30,0.10054285686653511,-0.012245110598537806
Four,07,861.68973,73.9165824,0.08578097176578858,30,0.10054285686653511,-0.014761885100746525
Four,08,723.8928178181818,63.786992545454545,0.08811662579787571,30,0.10054285686653511,-0.012426231068659394
Four,09,435.294502,36.477638266666666,0.08379990580874982,30,0.10054285686653511,-0.016742951057785282
Four,10,503.1055100645161,45.58755593548387,0.09061231694647494,30,0.10054285686653511,-0.009930539920060169
Four,11,361.05661926666664,37.288469066666664,0.1032759602701714,30,0.10054285686653511,0.0027331034036362917
Four,12,323.3746336129032,38.24393335483871,0.118265099916955,30,0.10054285686653511,0.01772224305041989
One,01,412.26716161290324,54.346326322580644,0.13182307829215106,27,0.10847603802210123,0.02334704027004983
One,02,434.08978258741257,52.92681517482517,0.1219259639315913,27,0.10847603802210123,0.013449925909490068
One,03,572.9789289677419,65.3544215483871,0.11406077648636617,27,0.10847603802210123,0.005584738464264938
One,04,679.3997491428571,77.3693225,0.11387893886862707,27,0.10847603802210123,0.005402900846525838
One,05,753.8896221290322,80.44046522580645,0.10670058701516207,27,0.10847603802210123,-0.0017754510069391688
One,06,673.0149512666667,67.6090884,0.10045703780094992,27,0.10847603802210123,-0.008019000221151318
One,07,629.4128830967742,62.49789064516129,0.09929553767260917,27,0.10847603802210123,-0.009180500349492068
One,08,683.3010984,68.2495986,0.09988217311491446,27,0.10847603802210123,-0.008593864907186777
One,09,562.4656880666666,55.18209793333333,0.09810749189520843,27,0.10847603802210123,-0.010368546126892808
One,10,453.8093955333333,47.40353006666667,0.10445691634690885,27,0.10847603802210123,-0.004019121675192389
One,11,397.754194,46.71603593333333,0.1174495118795236,27,0.10847603802210123,0.008973473857422365
One,12,249.19677373913044,23.343368967741934,0.09367444296120281,27,0.10847603802210123,-0.014801595060898426
Three,01,412.18763193548386,50.981186774193546,0.12368441657214302,29,0.10839579801775712,0.015288618554385902
Three,02,360.7116831092437,40.03948134453781,0.11100134323182322,29,0.10839579801775712,0.002605545214066099
Three,03,531.8438750980392,58.181824019607845,0.10939643520174544,29,0.10839579801775712,0.0010006371839883232
Three,04,622.683690859375,67.74596074074074,0.10879674822901421,29,0.10839579801775712,4.009502112570923e-4
Three,05,708.7531506451613,74.66308548387097,0.1053442731307888,29,0.10839579801775712,-0.003051524886968318
Three,06,765.8408389333333,77.31465073333334,0.10095394082276618,29,0.10839579801775712,-0.007441857194990936
Three,07,771.0340897959184,77.00083707482993,0.09986696839203432,29,0.10839579801775712,-0.008528829625722795
Three,08,686.4729573548387,69.43298135483872,0.10114452522992645,29,0.10839579801775712,-0.007251272787830665
Three,09,644.4700856,63.4505194,0.09845378523803433,29,0.10839579801775712,-0.009942012779722786
Three,10,553.8777446451613,57.212839161290326,0.10329506775532822,29,0.10839579801775712,-0.005100730262428896
Three,11,415.29678586666665,47.6310168,0.11469151320446819,29,0.10839579801775712,0.0062957151867110706
Three,12,346.26848193548386,42.97903761290323,0.12412055920501308,29,0.10839579801775712,0.015724761187255965
Two,01,309.15367116129033,40.73524,0.13176372723307492,28,0.11623209602889163,0.015531631204183285
Two,02,468.9601949180328,59.01693467213115,0.12584636246674716,28,0.11623209602889163,0.009614266437855526
Two,03,675.7235883225807,80.0307684516129,0.11843713884590243,28,0.11623209602889163,0.0022050428170107966
Two,04,676.8776810666667,75.79183213333333,0.11197271568165132,28,0.11623209602889163,-0.004259380347240313
Two,05,598.1838461290323,64.43493883870968,0.10771761767837948,28,0.11623209602889163,-0.008514478350512153
Two,06,706.3153300689655,70.75520537931034,0.10017509512699053,28,0.11623209602889163,-0.016057000901901097
Two,07,715.3625511612903,69.67745858064517,0.09740160212123716,28,0.11623209602889163,-0.01883049390765447
Two,08,649.3074867741935,65.27841464516129,0.10053544118129482,28,0.11623209602889163,-0.015696654847596817
Two,09,520.3181478,57.5032862,0.11051562672402332,28,0.11623209602889163,-0.005716469304868313
Two,10,521.9634682575758,61.342368712121214,0.11752234101151751,28,0.11623209602889163,0.0012902449826258794
Two,11,462.23367283783784,62.142740743243245,0.13444009901252768,28,0.11623209602889163,0.01820800298363605
Two,12,339.58319941935486,47.017801870967745,0.1384573852633533,28,0.11623209602889163,0.022225289234461668
